Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
AC010998.3,0,6.28736971,0.015,0,0,0.000462111,0.036638296,-3.335254064,-1.436064733
CLCA1,0,6.19342746,0.669,0.07,0,0.482112899,35.28275031,-0.316851248,1.547562431
OR8D4,0,5.998072697,0.043,0.001,0,0.001616868,0.103777281,-2.791325442,-0.983897714
CLCA2,0,5.956173294,0.029,0.001,0,0.000859403,0.053777947,-3.06580298,-1.269395777
FCGBP,0,5.842236406,0.83,0.186,0,1.111231073,63.75223359,0.045804377,1.804495405
NAT8,0,5.579823448,0.049,0.001,0,0.00164816,0.079143173,-2.783000571,-1.101586542
AC011523.1,0,5.566411308,0.073,0.002,0,0.003140999,0.149151093,-2.502932169,-0.82637356
REP15,0,5.437525226,0.442,0.02,0,0.04295819,1.86195472,-1.366954023,0.269969115
KLK3,0,5.43077224,0.058,0.001,0,0.002659701,0.115001899,-2.575167129,-0.939294986
AC091544.4,0,5.408009275,0.036,0.001,0,0.001733284,0.073865769,-2.761130153,-1.131556778
ZG16,0,5.340592983,0.657,0.147,0,1.29065534,52.29872464,0.110810283,1.718491098
FER1L6-AS1,0,5.317785396,0.018,0.001,0,0.001567671,0.062779034,-2.804745055,-1.20218537
GALNT8,0,5.29599334,0.519,0.038,0,0.1006523,3.954610631,-0.997176295,0.59710373
AP003062.2,0,5.293523699,0.036,0.002,0,0.001682789,0.066246159,-2.773970395,-1.178839298
RHBDL3,0,5.260758194,0.066,0.002,0,0.003756142,0.144248616,-2.425258042,-0.840888346
BEST2,0,5.228321486,0.192,0.006,0,0.013171222,0.493984272,-1.880373933,-0.306286878
ITLN1,0,5.187710931,0.46,0.03,0,0.158768146,5.786779165,-0.799236627,0.762436909
SPINK4,0,5.141206452,0.752,0.099,0,0.767131377,27.0726383,-0.115130253,1.432530581
CAPN9,0,5.133059815,0.247,0.011,0,0.020662285,0.72529098,-1.684821644,-0.139487724
SLITRK6,0,5.014022041,0.069,0.003,0,0.003683309,0.119211111,-2.433761796,-0.923683265
LRRC26,0,4.972735312,0.427,0.028,0,0.052124558,1.636946597,-1.282957612,0.214034512
FER1L6,0,4.923168571,0.322,0.022,0,0.072422107,2.197495226,-1.140128842,0.34192794
MUC2,0,4.869739819,0.763,0.109,0,0.84118575,24.59419853,-0.075108093,1.390832674
ATOH1,0,4.857566245,0.34,0.015,0,0.039168174,1.135719177,-1.407066676,0.055270959
AL672277.1,0,4.846084099,0.02,0.001,0,0.001070585,0.030958857,-2.970379024,-1.509215083
ABCA4,0,4.810939914,0.064,0.004,0,0.008253292,0.231828703,-2.083372811,-0.634832794
TFF3,0,4.788663144,0.972,0.467,0,5.070438479,140.1448857,0.705045518,2.146577254
AC005703.3,0,4.757463871,0.043,0.002,0,0.002806699,0.076070076,-2.551804211,-1.11878615
RETNLB,0,4.751618209,0.364,0.039,0,0.134912677,3.634549942,-0.869947241,0.560450641
LINC02343,0,4.717348119,0.095,0.005,0,0.010347847,0.272363846,-1.985150018,-0.564850542
LINC00930,4.30E-188,4.639637787,0.01,0,1.58E-183,0.000738338,0.018542077,-3.131744992,-1.731841631
AC099520.1,0,4.62730155,0.065,0.004,0,0.010757891,0.266014707,-1.968272852,-0.575094353
MB,0,4.591012711,0.181,0.011,0,0.01909359,0.460303132,-1.719112418,-0.33695607
TRPA1,0,4.587932962,0.079,0.004,0,0.010282626,0.247422481,-1.987895957,-0.606560843
B3GNT6,0,4.580323444,0.188,0.009,0,0.020618067,0.493374854,-1.685752047,-0.306822989
KCNMA1,0,4.528287422,0.51,0.05,0,0.165707556,3.823901235,-0.780657687,0.582506667
LINC00261,0,4.510575694,0.353,0.019,0,0.065075328,1.483441519,-1.186583637,0.17127043
CCDC60,0,4.479737689,0.102,0.005,0,0.009700749,0.216559099,-2.013194717,-0.664423564
VIT,0,4.28824281,0.054,0.005,0,0.007549458,0.147600868,-2.122084224,-0.830911088
FRZB,0,4.269244087,0.2,0.011,0,0.026889663,0.518602851,-1.570414637,-0.2851651
SCEL,8.77E-177,4.228302706,0.01,0.001,3.21E-172,0.000975162,0.018367963,-3.010923114,-1.735939012
AP001160.1,0,4.197454901,0.156,0.018,0,0.026844419,0.492595796,-1.571145993,-0.307509299
SLC34A3,0,4.176455365,0.07,0.005,0,0.006647679,0.120286233,-2.177329944,-0.919784076
PCAT18,0,4.173434263,0.033,0.002,0,0.003319677,0.059984563,-2.4789042,-1.221960501
AC069549.1,0,4.166558035,0.123,0.009,0,0.016030368,0.287958194,-1.795056512,-0.540670558
RAP1GAP,0,4.141688414,0.305,0.026,0,0.047396031,0.836675218,-1.324258028,-0.077443095
AL512328.1,0,4.121435616,0.031,0.002,0,0.004469712,0.077875616,-2.349720444,-1.108598507
CA8,0,4.057192284,0.319,0.033,0,0.075854442,1.262824794,-1.120018983,0.1013431
MYRIP,0,4.053056983,0.435,0.05,0,0.137388549,2.280637792,-0.862049464,0.358056317
AC125603.2,1.52E-259,4.050094125,0.019,0.002,5.58E-255,0.002688257,0.04460537,-2.570529292,-1.350612854
AP002498.1,0,4.010109841,0.153,0.013,0,0.021439132,0.345508426,-1.668792798,-0.461541357
SPDEF,0,3.999287384,0.364,0.037,0,0.074112792,1.185288252,-1.130106823,0.07382398
WFDC10B,0,3.961729932,0.034,0.002,0,0.003533309,0.055119025,-2.451818437,-1.25869847
ANO7,0,3.907585515,0.24,0.019,0,0.041579317,0.624051872,-1.381122644,-0.20477931
ANKFN1,0,3.89223978,0.082,0.008,0,0.015388672,0.228558225,-1.812798861,-0.641003146
GAU1,0,3.853629087,0.337,0.04,0,0.081508478,1.178370572,-1.088797216,0.071281888
SMIM33,0,3.819378313,0.057,0.006,0,0.006570107,0.092806075,-2.182427585,-1.032423596
SLC7A4,0,3.811985009,0.027,0.003,0,0.003935231,0.055324588,-2.405029755,-1.257081815
AC025265.2,1.81E-134,3.805241568,0.01,0.001,6.61E-130,0.001055543,0.014809727,-2.976524019,-1.829452962
FAM177B,0,3.798519191,0.123,0.012,0,0.030361457,0.422518347,-1.517677388,-0.374154427
AL133372.2,0,3.798357209,0.021,0.001,0,0.002079668,0.028987573,-2.682006051,-1.537788144
KLK4,0,3.759790339,0.037,0.003,0,0.004288527,0.058142634,-2.367691865,-1.235505299
FMOD,0,3.750817152,0.15,0.012,0,0.02362627,0.318105821,-1.626604841,-0.497428384
CNTNAP3B,0,3.745066241,0.056,0.004,0,0.006922107,0.092863837,-2.159761666,-1.032153378
TTC39A-AS1,0,3.742495777,0.048,0.005,0,0.006137682,0.082199255,-2.211995634,-1.085132118
AL162725.2,0,3.741834677,0.066,0.005,0,0.008133156,0.108857847,-2.089740883,-0.963140258
LINC02688,0,3.692541309,0.04,0.004,0,0.006846765,0.088567701,-2.164514549,-1.05272463
WNT9A,0,3.673196283,0.057,0.004,0,0.008054358,0.102792352,-2.093969075,-0.988039195
ANO1,0,3.669534766,0.125,0.013,0,0.020747706,0.264047913,-1.683029918,-0.578317261
STXBP5-AS1,0,3.65238423,0.325,0.048,0,0.101342433,1.27433376,-0.994208675,0.105283189
REG4,0,3.626158232,0.35,0.051,0,0.503386857,6.215658599,-0.298098128,0.793487152
AL133297.2,0,3.613845194,0.044,0.004,0,0.004896221,0.059983236,-2.310138972,-1.221970107
KLHL32,0,3.61241474,0.169,0.02,0,0.044877759,0.548919047,-1.347968834,-0.260491699
FABP6,0,3.555384459,0.423,0.102,0,5.698765952,66.99747376,0.755780821,1.826058427
DLL1,0,3.525595477,0.175,0.019,0,0.035096244,0.404211003,-1.454739364,-0.393391869
CACNA2D2,0,3.519303013,0.081,0.005,0,0.011884081,0.136298602,-1.925034379,-0.8655086
ST6GALNAC1,0,3.514574799,0.624,0.176,0,0.39932594,4.563764401,-0.398672478,0.659323216
KLK15,0,3.507381941,0.043,0.004,0,0.00611612,0.069584768,-2.213523981,-1.157485815
FGFR2,0,3.506921429,0.306,0.046,0,0.087829713,0.998492246,-1.056358535,-0.000655304
AC004034.1,0,3.505636879,0.026,0.002,0,0.003839661,0.043644559,-2.415707143,-1.360069887
CCL26,0,3.491801261,0.022,0.002,0,0.003523476,0.039670548,-2.45302864,-1.401531796
MLPH,0,3.4914184,0.383,0.048,0,0.115554559,1.299629996,-0.937212914,0.113819726
AL136090.2,1.66E-173,3.480439829,0.012,0.001,6.07E-169,0.001801373,0.020137946,-2.74439634,-1.695984822
TBX10,0,3.470436636,0.107,0.014,0,0.022078418,0.244753857,-1.656032053,-0.611270455
ROBO2,0,3.456877008,0.108,0.017,0,0.036855306,0.404721937,-1.433499982,-0.392843255
AC007325.4,0,3.454547428,0.032,0.003,0,0.004115518,0.045148368,-2.385575457,-1.345357943
AL049779.4,0,3.438118765,0.142,0.027,0,0.050110136,0.543158055,-1.300074416,-0.265073776
FFAR4,0,3.436701838,0.113,0.01,0,0.024232122,0.262416318,-1.615608554,-0.581009162
HPN,2.48E-269,3.429350084,0.018,0.002,9.09E-265,0.002706413,0.029185448,-2.567605858,-1.534833639
SRPK3,2.83E-122,3.414816092,0.011,0.001,1.03E-117,0.002054091,0.02193533,-2.68738036,-1.658855825
CASR,0,3.406813998,0.022,0.002,0,0.005728594,0.060785633,-2.241951923,-1.216199059
ATP12A,6.23E-164,3.390591016,0.013,0.001,2.28E-159,0.001991933,0.02091731,-2.700725362,-1.679494162
LTF,4.66E-188,3.390349717,0.012,0.001,1.70E-183,0.001708594,0.017942808,-2.767361006,-1.746109598
