Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
KLK3,4.53E-152,7.298519102,0.027,0.001,1.66E-147,0.00080134,0.127503976,-3.096182908,-0.894476271
SPINK4,0,7.108762843,0.207,0.021,0,0.126217205,17.42193067,-0.898881441,1.241096281
DEFA6,2.89E-17,6.992648188,0.022,0.005,1.06E-12,0.037479868,4.773964905,-1.426201945,0.678879222
FCGBP,0,6.987504644,0.87,0.079,0,0.458065291,58.12764848,-0.339072615,1.764382754
ITLN1,0,6.786371486,0.296,0.017,0,0.080521301,8.888852326,-1.094089215,0.948845691
CLDN18,3.85E-236,6.57732971,0.06,0.003,1.41E-231,0.003246924,0.310535012,-2.488527902,-0.507889428
CLCA1,0,6.436300361,0.815,0.066,0,0.499943735,43.29563371,-0.30107887,1.636444101
GALNT8,0,6.318102949,0.525,0.027,0,0.052593247,4.196571372,-1.279070014,0.622894614
REP15,0,6.277547627,0.37,0.017,0,0.029917706,2.321131718,-1.524071716,0.365699786
LINC02113,2.79E-162,6.247141126,0.029,0.001,1.02E-157,0.002453735,0.186580385,-2.610172333,-0.729134016
MUC5AC,5.77E-97,6.150078599,0.027,0.001,2.11E-92,0.001388153,0.098709563,-2.857562765,-1.005640772
ABCA4,0,6.084526316,0.243,0.012,0,0.020947087,1.42158891,-1.678876368,0.152774027
AC125603.2,1.17E-121,6.074199863,0.032,0.001,4.27E-117,0.002134622,0.143902473,-2.670679008,-0.841931743
AC091544.4,5.96E-207,6.030093417,0.069,0.004,2.18E-202,0.00448393,0.29306811,-2.348341165,-0.533031436
LINC00930,4.76E-50,5.972903888,0.016,0.001,1.74E-45,0.000822269,0.051657756,-3.084986248,-1.286864463
LRRC26,0,5.855377956,0.281,0.017,0,0.024672269,1.428354037,-1.607790917,0.154835867
AC011523.1,1.59E-138,5.848384637,0.032,0.001,5.80E-134,0.001886682,0.108640205,-2.724301204,-0.964009424
AC091544.5,4.89E-25,5.794147195,0.011,0.001,1.79E-20,0.000733459,0.040607355,-3.134624053,-1.391395294
MUC2,0,5.777989306,0.67,0.038,0,0.186116326,10.21241087,-0.730215529,1.009128279
CRACR2A,0,5.747641858,0.213,0.012,0,0.023399968,1.257150999,-1.630784741,0.099387445
CLCA2,1.33E-63,5.706596498,0.011,0,4.86E-59,0.000554657,0.028827143,-3.255975497,-1.540198394
MLPH,0,5.6447413,0.214,0.012,0,0.021192725,1.060117113,-1.673813195,0.025353845
ATOH1,0,5.628099852,0.294,0.022,0,0.035728241,1.76683039,-1.446988367,0.247194861
AC108721.2,9.67E-133,5.559053475,0.027,0.001,3.54E-128,0.003004033,0.141416811,-2.522295314,-0.84949896
AP001994.3,0,5.541048561,0.103,0.006,0,0.008215761,0.382315012,-2.085352186,-0.417578649
GAU1,0,5.506483544,0.249,0.019,0,0.026983843,1.226415338,-1.568896196,0.088637573
AC104781.2,3.33E-98,5.38555606,0.062,0.007,1.22E-93,0.009629975,0.402281765,-2.016374837,-0.395469653
MB,0,5.360553887,0.114,0.006,0,0.010290513,0.422493583,-1.987562967,-0.374179882
BCAS1,0,5.303280156,0.644,0.079,0,0.180515614,7.127574131,-0.743485227,0.852941743
TFF3,0,5.28686167,0.857,0.409,0,3.548416282,138.5279761,0.550034563,2.141537489
SPDEF,0,5.24923675,0.25,0.026,0,0.028895826,1.098698778,-1.539164892,0.040878641
AL136442.1,3.24E-55,5.248144051,0.017,0.001,1.18E-50,0.001724672,0.065207442,-2.763293549,-1.185702834
CAPN9,0,5.236365971,0.223,0.018,0,0.028757447,1.083716267,-1.541249677,0.034915592
AC097511.1,7.99E-97,5.217285846,0.041,0.003,2.93E-92,0.007203683,0.267635916,-2.142445419,-0.572455605
CALML3,2.12E-38,5.17965998,0.011,0.001,7.77E-34,0.000662611,0.023650599,-3.17874139,-1.626157864
KIF19,0,5.114043957,0.166,0.012,0,0.020795052,0.719791555,-1.682039994,-0.142793253
NXPE2,5.40E-29,5.084891692,0.018,0.002,1.98E-24,0.002759125,0.093245642,-2.559228625,-1.030371457
RASD2,8.06E-87,5.072238796,0.037,0.003,2.95E-82,0.003922595,0.131566501,-2.406426493,-0.880854676
SELENOM,0,5.061211454,0.581,0.075,0,0.232000404,7.745375421,-0.634511258,0.889042473
FER1L6,0,5.058436801,0.534,0.055,0,0.178374087,5.943513899,-0.748668237,0.774043283
ERN2,0,5.049593178,0.217,0.021,0,0.03070299,1.016447349,-1.512819323,0.007084887
CABP7,6.77E-86,5.047521344,0.034,0.002,2.48E-81,0.002830224,0.093190196,-2.54817916,-1.030629776
ANO7,9.54E-165,5.038644701,0.134,0.019,3.49E-160,0.022616371,0.742959101,-1.645577081,-0.129035093
AC099520.1,5.80E-82,4.984363681,0.053,0.006,2.12E-77,0.012621707,0.39911079,-1.898881902,-0.398906531
SCNN1A,0,4.971607186,0.178,0.018,0,0.029028426,0.910373131,-1.537176512,-0.040780568
LINC00382,1.07E-37,4.948316969,0.011,0.001,3.90E-33,0.001164972,0.035526233,-2.933684443,-1.449450839
AC004034.1,1.13E-143,4.938468509,0.076,0.007,4.14E-139,0.008489984,0.25989188,-2.071093114,-0.58520729
HEPACAM2,0,4.937095542,0.571,0.052,0,0.164473101,5.038142199,-0.78390512,0.702270421
LINC00261,0,4.927325019,0.327,0.029,0,0.055763385,1.696317878,-1.253650873,0.229507239
AC069549.1,7.92E-104,4.915110754,0.044,0.003,2.90E-99,0.006028944,0.18145083,-2.219758726,-0.741241041
LINC02343,3.13E-86,4.867115598,0.055,0.006,1.15E-81,0.010974923,0.319829345,-1.959598536,-0.495081692
FAM177B,1.29E-159,4.858791627,0.078,0.007,4.73E-155,0.010097074,0.292512369,-1.995804441,-0.533855765
PRSS2,3.03E-255,4.838470004,0.162,0.018,1.11E-250,0.190521509,5.450431926,-0.720055988,0.73643092
AC147067.1,7.60E-41,4.803521058,0.025,0.003,2.78E-36,0.003750425,0.104250371,-2.425919557,-0.981922392
PGA5,3.15E-35,4.798910578,0.014,0.001,1.15E-30,0.001329085,0.036513096,-2.876447323,-1.437551337
FITM1,1.84E-99,4.788409026,0.07,0.009,6.74E-95,0.008997621,0.248159587,-2.045872328,-0.605268942
ITLN2,3.82E-14,4.785145928,0.013,0.002,1.40E-09,0.009844381,0.270944046,-2.006811596,-0.567120388
KLK12,0,4.784670204,0.149,0.011,0,0.030183708,0.831470882,-1.520227405,-0.080152955
FER1L6-AS1,3.20E-113,4.76866893,0.055,0.005,1.17E-108,0.009915025,0.269782915,-2.003706202,-0.568985557
AC009163.6,1.25E-18,4.744707365,0.018,0.003,4.57E-14,0.002439008,0.064891514,-2.612786861,-1.187812096
MUC5B,9.69E-103,4.668280389,0.06,0.006,3.54E-98,0.008671555,0.219972002,-2.061903023,-0.657632592
MMP26,3.78E-29,4.591028072,0.019,0.002,1.38E-24,0.004581164,0.109874126,-2.339024129,-0.959104568
AL590226.2,1.14E-16,4.590753539,0.011,0.001,4.16E-12,0.001923389,0.045809894,-2.715932808,-1.339040709
GFI1,1.98E-113,4.559345976,0.044,0.003,7.23E-109,0.00506144,0.118792209,-2.295725949,-0.925212043
AC106795.2,1.50E-43,4.551989584,0.027,0.003,5.48E-39,0.00344071,0.080164959,-2.463351977,-1.096015426
DEFA5,1.25E-07,4.550311516,0.021,0.007,0.004587791,0.146388874,3.42940768,-0.83449193,0.535219116
LINC01124,2.17E-30,4.538596898,0.013,0.001,7.94E-26,0.001161747,0.026450864,-2.934888307,-1.577560142
TBILA,2.34E-45,4.525935774,0.04,0.006,8.56E-41,0.009473865,0.217705605,-2.023472797,-0.66213039
TMEM61,2.41E-134,4.520241311,0.081,0.009,8.84E-130,0.009899784,0.22661815,-2.004374263,-0.644705311
KLK15,5.52E-48,4.498305214,0.026,0.003,2.02E-43,0.003668153,0.082345064,-2.435552547,-1.084362428
