Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
AC090340.1,0,8.090125532,0.027,0,0,0.042981069,0.000142823,-1.366722783,-3.845201953
REG1B,0,7.572854288,0.377,0.026,0,12.81492475,0.067292055,1.10771606,-1.172036211
GIMD1,0,7.526608464,0.051,0,0,0.082485159,0.000432474,-1.083624185,-3.364040282
AL109920.1,0,7.132707209,0.07,0.001,0,0.156513031,0.001100464,-0.805449498,-2.958424106
MUCL3,5.23E-166,7.028440303,0.012,0,1.91E-161,0.074440434,0.000555388,-1.128191105,-3.255403248
NPC1L1,0,6.927229918,0.199,0.002,0,0.501691498,0.004107421,-0.299563259,-2.386430799
AP006216.3,4.32E-188,6.911823684,0.013,0,1.58E-183,0.042032235,0.000334261,-1.376417514,-3.475914903
ANXA10,0,6.874393591,0.059,0.001,0,0.281063678,0.002380746,-0.551195274,-2.623286871
GATA4,0,6.829815071,0.317,0.004,0,0.830434622,0.007285254,-0.080694553,-2.137555297
S100G,0,6.799357339,0.04,0.001,0,0.168607887,0.001498997,-0.773122115,-2.824199246
PGC,1.60E-101,6.791690889,0.011,0.002,5.85E-97,0.315276678,0.002830902,-0.501308154,-2.548075136
TM4SF4,0,6.745867815,0.397,0.016,0,3.307871871,0.030805739,0.519548679,-1.511368371
LCT,0,6.695659503,0.283,0.008,0,2.033953734,0.01960737,0.30834107,-1.707580658
FOLH1,0,6.56831563,0.406,0.008,0,2.048187381,0.021568125,0.311369686,-1.666187609
RBP2,0,6.508930507,0.774,0.059,0,23.9544474,0.263013756,1.379386157,-0.580021536
TMPRSS15,0,6.490103718,0.341,0.018,0,3.631094818,0.040379693,0.56003759,-1.393836986
APOA4,0,6.399461552,0.564,0.059,0,32.43735256,0.38423671,1.511045401,-0.415401145
ENPP7,0,6.364704646,0.122,0.002,0,0.348846626,0.004218451,-0.457365473,-2.374846987
SULT4A1,0,6.246782969,0.057,0.001,0,0.094307858,0.001227162,-1.025452121,-2.911098236
APOA1,0,6.171755822,0.576,0.064,0,35.9447896,0.498585347,1.555635946,-0.302260489
AQP10,0,6.107702091,0.052,0.001,0,0.158939657,0.002290097,-0.798767729,-2.64014612
APOC3,0,6.059580157,0.426,0.023,0,12.03653189,0.18044741,1.080501371,-0.743649347
VNN1,0,5.996603363,0.407,0.011,0,1.871635817,0.029298576,0.272221348,-1.533153487
SFRP5,0,5.952286224,0.103,0.002,0,0.165507276,0.002658352,-0.78118291,-2.57538754
NUDT11,0,5.869641829,0.03,0,0,0.042665569,0.000715053,-1.369922456,-3.145661536
AL035587.3,1.85E-143,5.864559231,0.01,0,6.76E-139,0.017307166,0.000282405,-1.761774046,-3.549127661
AL356010.2,0,5.819301677,0.048,0.001,0,0.12635072,0.00222303,-0.898422279,-2.653054653
MUC5AC,2.36E-109,5.793202451,0.01,0.001,8.64E-105,0.114240143,0.002045493,-0.942181261,-2.689201948
SLC34A2,0,5.706904747,0.026,0.001,0,0.049203531,0.000927393,-1.308003731,-3.032736022
PDX1,0,5.699358751,0.073,0.002,0,0.139905655,0.002677914,-0.854164732,-2.572203318
ASAH2,0,5.670102478,0.202,0.006,0,0.55152118,0.010816979,-0.258437805,-1.965894027
ONECUT2,0,5.625098732,0.273,0.008,0,0.683537907,0.013835086,-0.165237396,-1.859018139
SMLR1,0,5.620378943,0.16,0.003,0,0.291781866,0.005916804,-0.534941703,-2.227912786
REG3G,0,5.617644706,0.042,0.002,0,0.080801446,0.001631084,-1.092580869,-2.78752354
TFF2,2.00E-226,5.595437814,0.025,0.003,7.33E-222,0.327002538,0.006748699,-0.485448877,-2.170779919
DSG3,0,5.554624306,0.067,0.002,0,0.102603937,0.002168453,-0.988835974,-2.663849903
AL929091.1,6.44E-173,5.550358934,0.013,0.001,2.36E-168,0.02195992,0.00045405,-1.658369238,-3.342896238
CPNE6,0,5.515560816,0.026,0.001,0,0.045368247,0.000977207,-1.343248003,-3.010013263
CEACAM20,0,5.485758332,0.191,0.006,0,0.425299426,0.009476575,-0.371305204,-2.023348605
MSMB,8.51E-288,5.459013319,0.023,0.001,3.11E-283,0.091841524,0.002073386,-1.036960918,-2.683319815
ERICH4,0,5.403731432,0.189,0.006,0,0.361087067,0.008515052,-0.442388066,-2.069812688
ABCA4,1.34E-244,5.398221608,0.02,0.001,4.90E-240,0.068643948,0.001613198,-1.163397748,-2.79231244
TRPV6,0,5.376187009,0.042,0.001,0,0.099545086,0.00238227,-1.001980172,-2.623009089
APOB,0,5.352379269,0.559,0.047,0,10.33160231,0.252880933,1.014167681,-0.597083915
CREB3L3,0,5.348066941,0.398,0.013,0,1.305008461,0.032024938,0.115613327,-1.494511704
SCTR,0,5.297497878,0.149,0.005,0,0.309764339,0.007861889,-0.50896858,-2.104473114
DEFB131A,0,5.256846254,0.048,0.002,0,0.091828345,0.002387184,-1.037023244,-2.622114165
AC115619.1,0,5.256428394,0.048,0.001,0,0.080221552,0.002084232,-1.095708941,-2.681053921
NTS,1.24E-276,5.238703172,0.023,0.002,4.55E-272,1.16339243,0.030797516,0.065726233,-1.511484311
GABRP,0,5.225836719,0.03,0.002,0,0.103992701,0.002764429,-0.982997141,-2.558394555
SLC34A3,0,5.200076261,0.035,0.001,0,0.057581131,0.001551957,-1.239719809,-2.809120342
MUC6,8.21E-95,5.187076426,0.012,0.002,3.01E-90,0.131516433,0.003595627,-0.881019979,-2.444225373
ACMSD,4.88E-284,5.126589073,0.022,0.001,1.78E-279,0.069047031,0.00196205,-1.160854992,-2.707289997
TM4SF20,0,5.103557608,0.567,0.035,0,3.267697611,0.095028118,0.514241861,-1.022147873
CYP3A4,0,5.097555936,0.436,0.031,0,3.847860926,0.112368991,0.585219367,-0.949353519
CFAP221,0,5.078993642,0.113,0.004,0,0.208645901,0.006158384,-0.680590142,-2.210533243
F11,0,5.072785493,0.048,0.001,0,0.07725176,0.002280956,-1.112091615,-2.641883133
GGN,0,5.065625971,0.026,0.001,0,0.039649176,0.001169552,-1.401765832,-2.931980373
MS4A10,0,5.053988098,0.23,0.008,0,0.531685077,0.015990501,-0.274345529,-1.796137937
AC093583.1,0,5.038326668,0.024,0.001,0,0.048271809,0.001454573,-1.316306421,-2.837264489
RALYL,0,4.941075934,0.156,0.008,0,0.552187298,0.017960893,-0.257913588,-1.745672064
NR0B2,0,4.922576134,0.142,0.008,0,0.323375811,0.010648309,-0.490292469,-1.972719344
ALDOB,0,4.91780595,0.857,0.129,0,37.8676449,1.252726392,1.578268296,0.097856227
AADAC,0,4.904525105,0.384,0.018,0,1.099463289,0.036694601,0.041180733,-1.435397834
SULT2A1,0,4.899767403,0.232,0.009,0,0.544042435,0.018210195,-0.264367224,-1.739685407
NAT8,1.99E-255,4.889075348,0.02,0.001,7.29E-251,0.031796698,0.001058751,-1.497617982,-2.975206205
MEIS2,0,4.872703818,0.264,0.013,0,0.900395318,0.030718576,-0.045566772,-1.512598915
ABCG5,0,4.870946468,0.266,0.018,0,0.790880141,0.027013437,-0.101889329,-1.568420161
GLTPD2,0,4.869300351,0.112,0.005,0,0.210174258,0.007176449,-0.677420478,-2.144090412
SLC46A1,0,4.823256329,0.139,0.009,0,0.574714345,0.020286245,-0.240547963,-1.692798335
SLC2A2,0,4.816124583,0.373,0.017,0,1.306460918,0.046362279,0.116096423,-1.333835226
AC083902.1,0,4.756670498,0.062,0.002,0,0.110080437,0.004057774,-0.958289855,-2.391712192
ADCY2,0,4.744370204,0.182,0.011,0,0.586798896,0.02187807,-0.231510712,-1.659990991
CDH16,0,4.740629794,0.025,0.001,0,0.043279326,0.001604622,-1.363719515,-2.794627251
SOAT2,0,4.717234911,0.058,0.002,0,0.104560181,0.003960776,-0.980633672,-2.402219697
AC025580.3,0,4.699817766,0.047,0.002,0,0.084090473,0.003221429,-1.075253206,-2.491951439
SLC28A1,0,4.696098182,0.22,0.009,0,0.550117484,0.02120792,-0.259544552,-1.673501915
ALPI,0,4.689540396,0.266,0.019,0,0.789297899,0.030573618,-0.102759053,-1.51465317
AL133372.2,1.13E-134,4.667369146,0.01,0,4.12E-130,0.014114008,0.000541236,-1.850349641,-3.266612925
LINC02520,8.05E-183,4.634635354,0.013,0,2.95E-178,0.019587447,0.000774342,-1.708022164,-3.111067053
CCK,4.73E-73,4.624918785,0.018,0.007,1.73E-68,0.544756824,0.022064013,-0.263797321,-1.656315504
TENM3,0,4.62266786,0.127,0.005,0,0.272402035,0.011043116,-0.564789653,-1.956908353
PRDM16-DT,0,4.615774926,0.044,0.002,0,0.071989188,0.002921997,-1.142732722,-2.534320244
SLC5A4,0,4.614799493,0.063,0.002,0,0.104531334,0.004252152,-0.980753509,-2.371391256
GNAT3,5.49E-120,4.600669136,0.015,0.003,2.01E-115,0.212635619,0.008749723,-0.672363983,-2.058005676
AC114291.1,0,4.581467542,0.036,0.002,0,0.060159341,0.00249857,-1.220696927,-2.602308551
MTTP,0,4.570274348,0.62,0.046,0,3.957389115,0.166564411,0.597408755,-0.778417787
FTCD,0,4.552695939,0.034,0.001,0,0.058024363,0.002458231,-1.236389616,-2.609377324
