Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(small.intestine),expr(large.intestine),logexprSI,logexprLI
A1CF,1.43E-242,0.394737313,0.383,0.235,5.25E-238,0.79876283,0.607517263,-0.097582153,-0.216441377
A4GALT,1.74E-31,1.165044855,0.012,0.002,6.36E-27,0.014833208,0.006565095,-1.828764899,-2.182759008
AAAS,3.05E-114,0.176861838,0.175,0.099,1.12E-109,0.209617523,0.185391212,-0.678572415,-0.731910856
AACS,1.05E-06,-0.372034709,0.094,0.08,0.038432678,0.110687938,0.143215565,-0.955899702,-0.844009779
AADAC,0,2.116284859,0.333,0.073,0,1.026186466,0.236625991,0.011226283,-0.625937554
AADAT,1.14E-49,0.258023699,0.079,0.045,4.18E-45,0.079490695,0.066430106,-1.099683703,-1.177635052
AAK1,3.28E-07,-0.296520115,0.156,0.135,0.01201801,0.304522066,0.37397201,-0.516381232,-0.427160901
AAMDC,1.01E-20,-0.288276684,0.36,0.3,3.70E-16,0.734649759,0.897104565,-0.133919659,-0.047156933
AAR2,1.05E-46,-0.196208224,0.109,0.07,3.84E-42,0.112807292,0.1292045,-0.947662828,-0.88872236
AARSD1,2.32E-119,0.118481192,0.209,0.124,8.49E-115,0.28026658,0.258128444,-0.552428685,-0.588164137
AASDH,5.50E-103,0.264678173,0.192,0.116,2.01E-98,0.249538089,0.207668931,-0.602863156,-0.682628472
AATF,3.47E-40,-0.277208684,0.235,0.176,1.27E-35,0.339252784,0.41108708,-0.469476579,-0.386066172
AATK,4.78E-16,-0.329284701,0.17,0.137,1.75E-11,0.241113822,0.302898175,-0.617777893,-0.518703343
ABAT,3.44E-231,0.62012948,0.227,0.109,1.26E-226,0.338514321,0.22019564,-0.470422953,-0.657191284
ABCA13,1.58E-16,0.656417624,0.019,0.01,5.80E-12,0.018613124,0.011762812,-1.73018073,-1.929488836
ABCA4,1.48E-49,2.867482688,0.02,0.004,5.41E-45,0.054522403,0.007415508,-1.26342501,-2.129859087
ABCA5,3.66E-27,-0.237417484,0.265,0.211,1.34E-22,0.561292882,0.661660919,-0.250810465,-0.179364516
ABCB1,7.48E-20,0.473597226,0.072,0.052,2.74E-15,0.207657791,0.149503481,-0.682651771,-0.825348694
ABCB6,2.09E-165,0.836369333,0.119,0.045,7.64E-161,0.136069462,0.076158183,-0.866239333,-1.118283424
ABCB7,2.49E-211,0.532307371,0.303,0.176,9.10E-207,0.506654631,0.350280053,-0.295287984,-0.455584593
ABCB8,1.25E-49,0.247767889,0.073,0.04,4.58E-45,0.088612572,0.074586871,-1.052504655,-1.127337614
ABCC10,3.97E-26,0.11195071,0.061,0.039,1.45E-21,0.066315356,0.061323016,-1.178385897,-1.212376492
ABCC2,0,1.396693337,0.181,0.05,0,0.382788783,0.145331665,-0.417040797,-0.83763975
ABCC3,4.77E-296,-1.491248043,0.23,0.337,1.75E-291,0.394281301,1.108444869,-0.404193819,0.044714097
ABCC6,3.67E-167,0.409501297,0.258,0.151,1.34E-162,0.386869543,0.291223586,-0.412435459,-0.535773454
ABCC8,1.74E-15,1.084049424,0.014,0.006,6.35E-11,0.048216627,0.022694618,-1.316803178,-1.644077116
ABCD1,2.65E-12,-0.142144737,0.033,0.023,9.69E-08,0.041324819,0.045566076,-1.383789042,-1.341358366
ABCD3,6.45E-09,-0.34251883,0.247,0.212,0.000236214,0.375951419,0.476659856,-0.424868271,-0.321791423
ABCD4,7.15E-215,0.559013722,0.269,0.147,2.62E-210,0.413139435,0.280379513,-0.383903349,-0.552253723
ABCE1,2.92E-124,0.244976749,0.239,0.147,1.07E-119,0.355385637,0.299842378,-0.449300128,-0.523106987
ABCF2,5.91E-63,0.117985529,0.098,0.055,2.16E-58,0.101588641,0.09357019,-0.993154848,-1.028862487
ABCG2,1.01E-19,-0.158872951,0.022,0.011,3.71E-15,0.043304277,0.048308067,-1.363469208,-1.315980336
ABCG5,5.17E-213,2.107806274,0.072,0.009,1.89E-208,0.079912928,0.018486049,-1.097382954,-1.73315589
ABCG8,3.41E-237,2.125550235,0.079,0.01,1.25E-232,0.081996651,0.018736883,-1.086203886,-1.727302648
ABHD10,7.79E-55,-0.101581041,0.117,0.073,2.85E-50,0.123537952,0.132511619,-0.908199603,-0.877746038
ABHD11,4.57E-32,-0.200212907,0.262,0.204,1.67E-27,0.410240534,0.47127531,-0.386961431,-0.326725312
ABHD12,8.36E-08,-0.543308402,0.316,0.31,0.003060117,0.581384242,0.847226225,-0.235536743,-0.072000609
ABHD14A,3.86E-59,0.104777021,0.168,0.112,1.41E-54,0.215323802,0.200199194,-0.666907959,-0.698537674
ABHD14B,3.95E-214,0.446503614,0.304,0.175,1.45E-209,0.472609054,0.346765066,-0.325497962,-0.459964661
ABHD15,7.87E-63,0.335744812,0.06,0.027,2.88E-58,0.052184751,0.041306475,-1.282456383,-1.38398187
ABHD16A,1.24E-19,-0.249770222,0.222,0.179,4.52E-15,0.29668835,0.35273158,-0.527699506,-0.452555657
ABHD17B,1.29E-148,-1.476377151,0.148,0.219,4.72E-144,0.229574712,0.638782777,-0.639075952,-0.194646802
ABHD17C,3.27E-268,-1.685118376,0.174,0.276,1.20E-263,0.280157478,0.900894491,-0.552597781,-0.045326069
ABHD2,6.80E-177,0.493574137,0.197,0.1,2.49E-172,0.281653158,0.200002979,-0.550285376,-0.698963535
ABHD3,2.70E-51,-0.971221022,0.239,0.274,9.86E-47,0.490732151,0.962058016,-0.309155488,-0.016798737
ABHD4,1.52E-33,0.106953808,0.066,0.04,5.57E-29,0.077227122,0.071668067,-1.112230149,-1.144674309
ABHD6,4.71E-168,0.767098873,0.122,0.047,1.72E-163,0.175974466,0.103355047,-0.754550344,-0.985668309
ABI1,3.55E-34,-0.781627198,0.312,0.327,1.30E-29,0.60463227,1.039378021,-0.218508677,0.016773529
ABI2,2.52E-11,-0.341038712,0.212,0.178,9.23E-07,0.361200562,0.45748658,-0.442251582,-0.339621641
ABI3BP,4.27E-37,-0.294124284,0.157,0.112,1.56E-32,0.346800974,0.425191269,-0.459919692,-0.371415662
ABITRAM,3.39E-41,-0.202496195,0.092,0.058,1.24E-36,0.088609309,0.1019248,-1.05252065,-0.99172013
ABLIM1,1.86E-08,-0.510958195,0.353,0.346,0.000680605,0.820233442,1.168797847,-0.086062528,0.067739403
ABO,4.41E-145,-1.126895841,0.181,0.254,1.61E-140,0.274350181,0.599130963,-0.561694749,-0.222478236
ABRACL,1.28E-176,0.287882856,0.391,0.265,4.69E-172,0.902762937,0.73941309,-0.044426279,-0.131112865
ABRAXAS1,3.74E-54,-0.187262667,0.145,0.095,1.37E-49,0.179516886,0.204361108,-0.745894694,-0.689601751
ABT1,4.76E-143,0.18466186,0.213,0.12,1.74E-138,0.269410883,0.237000778,-0.569584865,-0.625250229
ABTB2,1.63E-24,-1.254440809,0.028,0.043,5.95E-20,0.053012862,0.126461116,-1.275618748,-0.89804299
AC002069.2,2.02E-67,-1.561104461,0.011,0.029,7.40E-63,0.021444676,0.063275119,-1.668680518,-1.198767032
AC002070.1,8.56E-07,-0.646704722,0.009,0.014,0.031318424,0.01903508,0.029771888,-1.720445283,-1.526193629
AC002072.1,1.25E-08,0.406530467,0.012,0.007,0.000456448,0.016785959,0.012619811,-1.775053843,-1.898947133
AC002116.2,1.07E-12,0.143347037,0.024,0.015,3.90E-08,0.026157876,0.023642426,-1.582397517,-1.626307967
AC002460.2,1.92E-16,-1.587439499,0.008,0.015,7.03E-12,0.015056278,0.045243694,-1.822282373,-1.344441941
AC002467.1,2.35E-21,0.106312218,0.029,0.016,8.61E-17,0.022630307,0.020981736,-1.645309552,-1.67815859
AC002480.1,1.85E-27,0.9824726,0.012,0.003,6.78E-23,0.008616516,0.004312243,-2.064668312,-2.365296741
AC002480.2,2.43E-27,1.430251229,0.011,0.002,8.90E-23,0.01044661,0.003825228,-1.981024625,-2.417342662
AC002558.3,1.12E-40,0.516405781,0.048,0.025,4.11E-36,0.048812128,0.034079985,-1.311472262,-1.467500607
AC003093.1,1.57E-28,0.435549562,0.014,0.004,5.75E-24,0.011454451,0.00842517,-1.941025729,-2.074421311
AC003991.1,3.28E-55,-1.737114827,0.015,0.034,1.20E-50,0.0192445,0.064158246,-1.715693375,-1.192747514
AC004066.2,2.92E-11,-1.409234606,0.012,0.019,1.07E-06,0.01277288,0.033915111,-1.893711179,-1.469606751
AC004076.2,1.83E-10,0.591547104,0.018,0.011,6.70E-06,0.019423519,0.012844266,-1.711672087,-1.891290715
AC004080.2,0,-3.484689989,0.003,0.039,0,0.004433517,0.049777743,-2.353251631,-1.302964797
AC004083.1,4.52E-08,-0.198005549,0.016,0.01,0.001655748,0.017232087,0.019730227,-1.763662118,-1.704867924
AC004148.1,6.59E-73,0.712594228,0.064,0.027,2.41E-68,0.075420065,0.045976211,-1.122513095,-1.337466827
AC004160.1,2.26E-11,-0.294297976,0.02,0.012,8.28E-07,0.049741223,0.060961628,-1.303283543,-1.214943447
AC004241.1,6.39E-42,0.166508694,0.027,0.01,2.34E-37,0.022240894,0.01977495,-1.652847761,-1.703884598
AC004448.2,2.97E-131,0.488932059,0.153,0.078,1.09E-126,0.205416773,0.146325325,-0.687364098,-0.834680503
AC004556.3,2.57E-167,0.937430678,0.128,0.052,9.40E-163,0.157407393,0.082143776,-0.802974875,-1.085425339
AC004797.1,1.85E-10,-0.227289405,0.094,0.077,6.77E-06,0.118667778,0.138880005,-0.925667189,-0.857360277
AC004803.1,1.35E-11,-0.126087724,0.017,0.01,4.94E-07,0.017042171,0.018560714,-1.76847509,-1.731405327
AC004816.2,1.25E-119,1.835388673,0.049,0.009,4.59E-115,0.049522717,0.013824233,-1.305195535,-1.85935896
AC004834.1,8.58E-08,0.179704078,0.013,0.008,0.003141912,0.014895223,0.013109003,-1.826952982,-1.882430335
AC004875.1,4.79E-35,2.338380631,0.012,0.001,1.75E-30,0.016628213,0.003233591,-1.779154428,-2.490314913
AC004908.2,7.26E-07,0.126849596,0.017,0.012,0.026570058,0.013922677,0.012709646,-1.85627726,-1.895866534
AC004918.1,2.51E-47,0.589991974,0.035,0.013,9.17E-43,0.030413852,0.020159571,-1.516928574,-1.695518705
AC004938.2,5.88E-24,0.523364036,0.018,0.007,2.15E-19,0.016063279,0.011130797,-1.794165794,-1.953473723
AC004943.2,6.01E-38,0.123140525,0.117,0.08,2.20E-33,0.15074419,0.13837021,-0.821759419,-0.858957401
AC004951.1,7.05E-47,0.230224136,0.066,0.036,2.58E-42,0.07127947,0.060723611,-1.147035539,-1.216642409
AC004982.2,5.19E-07,-1.049596675,0.015,0.02,0.018994322,0.017082923,0.035340875,-1.767437804,-1.451722705
AC005062.1,1.65E-65,0.128720176,0.154,0.098,6.05E-61,0.228878798,0.209301101,-0.640394437,-0.679228487
AC005076.1,8.76E-16,0.25818418,0.022,0.012,3.21E-11,0.017152356,0.014299154,-1.765676209,-1.844689657
AC005083.1,7.38E-28,-0.283976735,0.08,0.054,2.70E-23,0.069609046,0.084716639,-1.157334319,-1.072031283
AC005162.3,5.16E-38,0.618049736,0.015,0.003,1.89E-33,0.017173285,0.01114327,-1.765146612,-1.952987332
AC005208.1,3.11E-216,-2.770773222,0.008,0.044,1.14E-211,0.012925987,0.088283871,-1.888536283,-1.054118633
AC005225.2,8.63E-57,0.236898799,0.072,0.037,3.16E-52,0.060829696,0.051575715,-1.215884355,-1.287554739
AC005261.1,1.24E-25,-0.157427363,0.097,0.069,4.55E-21,0.119623035,0.133377676,-0.922185184,-0.874916855
AC005306.1,1.95E-07,0.589402196,0.011,0.006,0.007127516,0.012779601,0.008447793,-1.89348271,-2.073256729
AC005394.1,3.30E-11,1.146850881,0.011,0.006,1.21E-06,0.013191364,0.005907674,-1.879710309,-2.228583458
AC005480.1,8.00E-28,-1.186045406,0.035,0.053,2.93E-23,0.05032924,0.114497048,-1.298179631,-0.941205712
AC005498.3,9.79E-07,-0.19631658,0.025,0.019,0.035850385,0.02563559,0.02933555,-1.59115668,-1.532605766
AC005550.2,1.29E-10,-0.457494169,0.055,0.042,4.72E-06,0.054777177,0.075184794,-1.261400355,-1.123869988
AC005632.3,3.48E-21,0.421431294,0.03,0.016,1.28E-16,0.029875811,0.022263519,-1.524680301,-1.652406185
AC005670.3,5.01E-71,0.23570185,0.193,0.128,1.84E-66,0.269448268,0.228792429,-0.569524604,-0.64055835
AC005759.1,6.15E-37,-1.673356013,0.006,0.016,2.25E-32,0.01335927,0.042610783,-1.874217259,-1.370480482
AC005786.3,1.25E-12,-1.369862193,0.012,0.02,4.58E-08,0.015004646,0.0387684,-1.82377426,-1.411522121
AC005920.1,4.44E-16,-1.473251864,0.014,0.022,1.63E-11,0.020795091,0.057729989,-1.682039174,-1.238598526
AC005920.2,0,-2.153871304,0.077,0.188,0,0.129241399,0.575174316,-0.88859835,-0.240200515
AC006064.2,1.06E-25,-1.67941268,0.008,0.018,3.89E-21,0.011308386,0.036221357,-1.946599384,-1.441035279
AC006064.4,1.32E-25,0.319888257,0.016,0.005,4.82E-21,0.018294772,0.014613271,-1.73767301,-1.835252559
AC006148.1,5.25E-108,-1.582854637,0.06,0.107,1.92E-103,0.089688425,0.268669509,-1.047263601,-0.570781618
AC006213.2,1.44E-18,0.256802538,0.028,0.016,5.27E-14,0.026575608,0.022199613,-1.575516797,-1.653654587
AC006213.3,4.96E-15,0.102818955,0.038,0.025,1.81E-10,0.042005786,0.039075414,-1.376690883,-1.408096412
AC006299.1,5.79E-100,0.95776803,0.069,0.025,2.12E-95,0.082524699,0.042439559,-1.083416052,-1.372229136
AC006329.1,7.03E-17,-0.41883221,0.039,0.025,2.57E-12,0.030671927,0.040970201,-1.513258937,-1.387531902
AC006387.1,1.99E-65,-1.75962623,0.002,0.013,7.28E-61,0.008319019,0.028173305,-2.079927874,-1.550162208
AC006460.1,6.42E-16,-1.468326984,0.006,0.012,2.35E-11,0.00739425,0.020452816,-2.131105899,-1.689246882
AC006460.2,1.99E-17,-0.558149617,0.029,0.042,7.28E-13,0.042559058,0.062632165,-1.371007998,-1.203202576
AC006483.2,2.79E-12,-0.886325264,0.005,0.01,1.02E-07,0.008056325,0.014867799,-2.093863015,-1.827753327
AC006504.5,1.27E-13,-0.408405387,0.113,0.09,4.66E-09,0.123770915,0.164237401,-0.907381399,-0.784527936
AC006942.1,4.92E-48,0.78880043,0.027,0.008,1.80E-43,0.02988226,0.017249265,-1.524586563,-1.763229404
AC006960.2,2.62E-150,-4.62251031,0.002,0.019,9.58E-146,0.00279874,0.06933551,-2.553037417,-1.159044286
AC007014.1,5.59E-15,-1.563925668,0.007,0.013,2.04E-10,0.00910214,0.026907487,-2.040856482,-1.570126863
AC007091.1,2.77E-13,-0.946045938,0.01,0.017,1.01E-08,0.01333954,0.025677184,-1.874859152,-1.590452613
AC007098.1,2.92E-13,-0.723992735,0.049,0.062,1.07E-08,0.08614081,0.142255199,-1.064791051,-0.846931851
AC007114.2,8.70E-71,-1.504569923,0.036,0.067,3.18E-66,0.052815176,0.149851979,-1.277241268,-0.824337516
