"","rownames.merged.gut...RNA....counts."
"1","MIR1302-2HG"
"2","FAM138A"
"3","OR4F5"
"4","AL627309.1"
"5","AL627309.3"
"6","AL627309.2"
"7","AL627309.5"
"8","AL627309.4"
"9","AP006222.2"
"10","AL732372.1"
"11","OR4F29"
"12","AC114498.1"
"13","OR4F16"
"14","AL669831.2"
"15","LINC01409"
"16","FAM87B"
"17","LINC01128"
"18","LINC00115"
"19","FAM41C"
"20","AL645608.6"
"21","AL645608.2"
"22","AL645608.4"
"23","LINC02593"
"24","SAMD11"
"25","NOC2L"
"26","KLHL17"
"27","PLEKHN1"
"28","PERM1"
"29","AL645608.7"
"30","HES4"
"31","ISG15"
"32","AL645608.1"
"33","AGRN"
"34","AL645608.5"
"35","AL645608.8"
"36","RNF223"
"37","C1orf159"
"38","AL390719.3"
"39","LINC01342"
"40","AL390719.2"
"41","TTLL10-AS1"
"42","TTLL10"
"43","TNFRSF18"
"44","TNFRSF4"
"45","SDF4"
"46","B3GALT6"
"47","C1QTNF12"
"48","AL162741.1"
"49","UBE2J2"
"50","LINC01786"
"51","SCNN1D"
"52","ACAP3"
"53","PUSL1"
"54","INTS11"
"55","AL139287.1"
"56","CPTP"
"57","TAS1R3"
"58","DVL1"
"59","MXRA8"
"60","AURKAIP1"
"61","CCNL2"
"62","MRPL20-AS1"
"63","MRPL20"
"64","AL391244.2"
"65","ANKRD65"
"66","AL391244.1"
"67","TMEM88B"
"68","LINC01770"
"69","VWA1"
"70","ATAD3C"
"71","ATAD3B"
"72","ATAD3A"
"73","TMEM240"
"74","SSU72"
"75","AL645728.1"
"76","FNDC10"
"77","AL691432.4"
"78","AL691432.2"
"79","MIB2"
"80","MMP23B"
"81","CDK11B"
"82","FO704657.1"
"83","SLC35E2B"
"84","CDK11A"
"85","SLC35E2A"
"86","NADK"
"87","GNB1"
"88","AL109917.1"
"89","CALML6"
"90","TMEM52"
"91","CFAP74"
"92","AL391845.2"
"93","GABRD"
"94","AL391845.1"
"95","PRKCZ"
"96","AL590822.2"
"97","PRKCZ-AS1"
"98","FAAP20"
"99","AL590822.1"
"100","SKI"
"101","AL590822.3"
"102","MORN1"
"103","AL589739.1"
"104","AL513477.2"
"105","RER1"
"106","PEX10"
"107","PLCH2"
"108","AL139246.1"
"109","AL139246.4"
"110","PANK4"
"111","HES5"
"112","AL139246.5"
"113","TNFRSF14-AS1"
"114","TNFRSF14"
"115","AL139246.3"
"116","PRXL2B"
"117","MMEL1"
"118","AL831784.1"
"119","TTC34"
"120","AC242022.2"
"121","AC242022.1"
"122","AL592464.2"
"123","AL592464.3"
"124","AL592464.1"
"125","AL589702.1"
"126","ACTRT2"
"127","PRDM16-DT"
"128","PRDM16"
"129","AL008733.1"
"130","AL590438.1"
"131","AL354743.2"
"132","AL354743.1"
"133","ARHGEF16"
"134","AL512413.1"
"135","MEGF6"
"136","AL513320.1"
"137","TPRG1L"
"138","WRAP73"
"139","TP73"
"140","AL136528.1"
"141","AL136528.2"
"142","CCDC27"
"143","SMIM1"
"144","LRRC47"
"145","AL365330.1"
"146","CEP104"
"147","DFFB"
"148","C1orf174"
"149","LINC01134"
"150","LINC01346"
"151","LINC01345"
"152","LINC02780"
"153","AL805961.1"
"154","LINC01777"
"155","AL355602.1"
"156","Z98747.1"
"157","LINC01646"
"158","AJAP1"
"159","Z98886.1"
"160","BX005132.1"
"161","LINC02781"
"162","LINC02782"
"163","AL139823.1"
"164","Z98259.3"
"165","Z98259.2"
"166","Z98259.1"
"167","AL365255.1"
"168","NPHP4"
"169","KCNAB2"
"170","CHD5"
"171","RPL22"
"172","AL031847.1"
"173","RNF207"
"174","ICMT"
"175","LINC00337"
"176","HES3"
"177","GPR153"
"178","ACOT7"
"179","AL031848.2"
"180","HES2"
"181","ESPN"
"182","AL031848.1"
"183","TNFRSF25"
"184","PLEKHG5"
"185","NOL9"
"186","TAS1R1"
"187","ZBTB48"
"188","KLHL21"
"189","PHF13"
"190","THAP3"
"191","DNAJC11"
"192","LINC01672"
"193","AL591163.1"
"194","CAMTA1-DT"
"195","CAMTA1"
"196","AL512330.1"
"197","CAMTA1-IT1"
"198","Z97987.1"
"199","AL365194.1"
"200","AL359881.3"
"201","AL359881.2"
"202","AL359881.1"
"203","VAMP3"
"204","Z98884.2"
"205","PER3"
"206","Z98884.1"
"207","UTS2"
"208","TNFRSF9"
"209","PARK7"
"210","AL034417.4"
"211","AL034417.3"
"212","ERRFI1"
"213","AL034417.2"
"214","LINC01714"
"215","AL358876.2"
"216","SLC45A1"
"217","RERE"
"218","RERE-AS1"
"219","AL357552.2"
"220","ENO1"
"221","ENO1-AS1"
"222","CA6"
"223","SLC2A7"
"224","SLC2A5"
"225","GPR157"
"226","MIR34AHG"
"227","LNCTAM34A"
"228","H6PD"
"229","SPSB1"
"230","BX323043.1"
"231","LINC02606"
"232","AL928921.1"
"233","SLC25A33"
"234","TMEM201"
"235","PIK3CD"
"236","PIK3CD-AS1"
"237","PIK3CD-AS2"
"238","CLSTN1"
"239","CTNNBIP1"
"240","AL357140.1"
"241","AL357140.4"
"242","LZIC"
"243","AL357140.2"
"244","NMNAT1"
"245","AL603962.1"
"246","RBP7"
"247","UBE4B"
"248","KIF1B"
"249","AL139424.3"
"250","AL139424.2"
"251","PGD"
"252","AL139424.1"
"253","CENPS"
"254","CORT"
"255","DFFA"
"256","AL354956.1"
"257","PEX14"
"258","AL139423.2"
"259","CASZ1"
"260","AL139423.1"
"261","C1orf127"
"262","TARDBP"
"263","MASP2"
"264","AL109811.2"
"265","SRM"
"266","EXOSC10"
"267","AL109811.1"
"268","EXOSC10-AS1"
"269","MTOR"
"270","MTOR-AS1"
"271","ANGPTL7"
"272","UBIAD1"
"273","AL031291.1"
"274","DISP3"
"275","AL590989.1"
"276","LINC01647"
"277","AL031731.1"
"278","FBXO2"
"279","FBXO44"
"280","FBXO6"
"281","MAD2L2"
"282","DRAXIN"
"283","AGTRAP"
"284","C1orf167"
"285","AL953897.1"
"286","MTHFR"
"287","CLCN6"
"288","NPPA"
"289","NPPB"
"290","AL021155.5"
"291","KIAA2013"
"292","PLOD1"
"293","AL096840.2"
"294","MFN2"
"295","MIIP"
"296","TNFRSF8"
"297","AL357835.1"
"298","TNFRSF1B"
"299","VPS13D"
"300","LINC02766"
"301","DHRS3"
"302","AC254633.1"
"303","AADACL4"
"304","AADACL3"
"305","C1orf158"
"306","PRAMEF12"
"307","PRAMEF1"
"308","LINC01784"
"309","PRAMEF11"
"310","HNRNPCL1"
"311","PRAMEF2"
"312","PRAMEF4"
"313","PRAMEF10"
"314","PRAMEF7"
"315","PRAMEF6"
"316","PRAMEF27"
"317","HNRNPCL3"
"318","PRAMEF25"
"319","HNRNPCL2"
"320","AC245056.1"
"321","PRAMEF26"
"322","HNRNPCL4"
"323","PRAMEF9"
"324","PRAMEF13"
"325","PRAMEF18"
"326","PRAMEF5"
"327","PRAMEF8"
"328","PRAMEF33"
"329","PRAMEF15"
"330","AC243961.1"
"331","PRAMEF14"
"332","PRAMEF19"
"333","PRAMEF17"
"334","PRAMEF20"
"335","LRRC38"
"336","AL354712.1"
"337","PDPN"
"338","AL359771.1"
"339","PRDM2"
"340","KAZN"
"341","AL357873.1"
"342","KAZN-AS1"
"343","AL031293.1"
"344","TMEM51-AS1"
"345","TMEM51"
"346","C1orf195"
"347","FHAD1"
"348","AL031283.2"
"349","AL031283.3"
"350","AL031283.1"
"351","EFHD2"
"352","CTRC"
"353","CELA2A"
"354","CELA2B"
"355","CASP9"
"356","DNAJC16"
"357","AL121992.3"
"358","AGMAT"
"359","AL121992.1"
"360","DDI2"
